,optim,lr,loss
61,adam,1.8348636655497314e-06,6.564700603485107
62,adam,1.8532123022052287e-06,6.521966934204102
63,adam,1.871744425227281e-06,6.5017409324646
64,adam,1.8904618694795538e-06,6.531047821044922
65,adam,1.9093664881743493e-06,6.482404708862305
66,adam,1.9284601530560927e-06,6.478571891784668
67,adam,1.9477447545866537e-06,6.480298042297363
68,adam,1.9672222021325203e-06,6.437643527984619
69,adam,1.9868944241538454e-06,6.438004970550537
70,adam,2.006763368395384e-06,6.440281867980957
71,adam,2.026831002079338e-06,6.404485702514648
72,adam,2.0470993121001315e-06,6.382970809936523
73,adam,2.067570305221133e-06,6.391656398773193
74,adam,2.088246008273344e-06,6.370804309844971
75,adam,2.1091284683560776e-06,6.3557448387146
76,adam,2.1302197530396385e-06,6.340068817138672
77,adam,2.151521950570035e-06,6.3133955001831055
78,adam,2.173037170075735e-06,6.275191783905029
79,adam,2.1947675417764925e-06,6.273133277893066
80,adam,2.2167152171942576e-06,6.271077632904053
81,adam,2.2388823693662e-06,6.272643089294434
82,adam,2.2612711930598622e-06,6.23849630355835
83,adam,2.283883904990461e-06,6.252517223358154
84,adam,2.3067227440403656e-06,6.195516586303711
85,adam,2.3297899714807694e-06,6.206970691680908
86,adam,2.353087871195577e-06,6.181511402130127
87,adam,2.3766187499075327e-06,6.195158004760742
88,adam,2.400384937406608e-06,6.155141830444336
89,adam,2.424388786780674e-06,6.115976333618164
90,adam,2.4486326746484807e-06,6.106380939483643
91,adam,2.4731190013949654e-06,6.1244401931762695
92,adam,2.497850191408915e-06,6.069363594055176
93,adam,2.522828693323004e-06,6.05276346206665
94,adam,2.5480569802562343e-06,6.030874252319336
95,adam,2.5735375500587964e-06,6.043917655944824
96,adam,2.5992729255593846e-06,6.01526403427124
97,adam,2.6252656548149785e-06,6.008145809173584
98,adam,2.651518311363128e-06,5.979025363922119
99,adam,2.6780334944767595e-06,5.97590446472168
100,adam,2.7048138294215272e-06,5.935075283050537
101,adam,2.7318619677157427e-06,5.907214641571045
102,adam,2.7591805873929002e-06,5.908379077911377
103,adam,2.786772393266829e-06,5.895666599273682
104,adam,2.8146401171994977e-06,5.844428062438965
105,adam,2.8427865183714927e-06,5.824282646179199
106,adam,2.8712143835552076e-06,5.822269439697266
