epoch,norm,train_loss,test_loss,test_accuracy,seed,lr,mm,wd
20,GN,0.5855128230036372,0.6125416770577431,0.7912,0,0.01,0.5,0.0
21,GN,0.442296401466555,0.5595423704385758,0.8076,0,0.01,0.5,0.0
22,GN,0.418664719213915,0.5291469883918762,0.8233,0,0.01,0.5,0.0
23,GN,0.4069543681333742,0.5154252168536186,0.8222,0,0.01,0.5,0.0
24,GN,0.3924436969754031,0.5286587873101234,0.8197,0,0.01,0.5,0.0
25,GN,0.3847512932079832,0.497206964045763,0.8319,0,0.01,0.5,0.0
26,GN,0.3757706364173718,0.521969449520111,0.8244,0,0.01,0.5,0.0
27,GN,0.3642799151904138,0.4833326612412929,0.8369,0,0.01,0.5,0.0
28,GN,0.3570733793708674,0.516883137524128,0.8273,0,0.01,0.5,0.0
29,GN,0.3477137243503804,0.4931351515650749,0.8355,0,0.01,0.5,0.0
30,GN,0.345670112563521,0.4725214055180549,0.8382,0,0.01,0.5,0.0
31,GN,0.2835615012042053,0.4480914720892906,0.8503,0,0.01,0.5,0.0
32,GN,0.2742589988062144,0.447677648961544,0.8503,0,0.01,0.5,0.0
33,GN,0.267454714021262,0.4467566786706448,0.8519,0,0.01,0.5,0.0
34,GN,0.2635706349292679,0.4316980335116386,0.8579,0,0.01,0.5,0.0
35,GN,0.2593974915840437,0.4880024635791778,0.8454,0,0.01,0.5,0.0
36,GN,0.2536091432165916,0.4701091779768467,0.8487,0,0.01,0.5,0.0
37,GN,0.2516533437820956,0.4402179573476314,0.8579,0,0.01,0.5,0.0
38,GN,0.2470968162540889,0.4388482685387134,0.8587,0,0.01,0.5,0.0
39,GN,0.2424909511528661,0.4407877475023269,0.8584,0,0.01,0.5,0.0
40,GN,0.2389099696446257,0.4573987863957882,0.8522,0,0.01,0.5,0.0
41,GN,0.2145214107106713,0.4310592468082905,0.8606,0,0.01,0.5,0.0
42,GN,0.2121922246482976,0.4298081782460212,0.8617,0,0.01,0.5,0.0
43,GN,0.2088193970034494,0.4327752560377121,0.863,0,0.01,0.5,0.0
44,GN,0.2052379011764855,0.4284278440475464,0.8637,0,0.01,0.5,0.0
45,GN,0.2027538796824872,0.4409473544359207,0.8587,0,0.01,0.5,0.0
46,GN,0.2019816481358255,0.4396651536226272,0.8592,0,0.01,0.5,0.0
47,GN,0.1990888694782391,0.4336711774766445,0.8634,0,0.01,0.5,0.0
48,GN,0.2009177772171052,0.4306478165090084,0.8647,0,0.01,0.5,0.0
49,GN,0.1967259084667696,0.4413376526534557,0.8616,0,0.01,0.5,0.0
