round,norm,independence,balancement,test_loss,test_acc,train_acc,train_loss
13,GN,iid,balanced,1.5742872582206244,0.47662513185654004,0.5734053948084514,0.817101186166207
13,GN,noniid,balanced,2.3464946920358685,0.1497692510548523,0.2798965055584907,1.1521905479331813
13,GN,noniid,unbalanced,2.349975821187225,0.17221453059071726,0.2774165698474455,1.2631287510985254
14,BN,iid,balanced,1.4900756918251001,0.5020383768773556,0.7520514513969422,0.6943471892674764
14,BN,noniid,balanced,2.3417879874015903,0.19560707413473954,0.2699158122604091,1.1621632341047128
14,BN,noniid,unbalanced,2.2065132673605325,0.22181356147651168,0.27816840234639234,1.1944906060719211
14,GN,iid,balanced,1.5589874363146752,0.47972705696202533,0.6012904075304667,0.7950195673604806
14,GN,noniid,balanced,2.3495532826029297,0.16734902426160334,0.22652680404037226,1.170156535158555
14,GN,noniid,unbalanced,2.2339479444902155,0.16782700421940924,0.21908904319955425,1.2762088536722664
15,BN,iid,balanced,1.4839345238705466,0.5037294370039379,0.7628594169298809,0.6890931868553162
15,BN,noniid,balanced,2.340952626343391,0.18084903088579438,0.3070283303335309,1.1756658038993677
15,BN,noniid,unbalanced,2.2194744508300395,0.21733703194064669,0.3756843683657574,1.0268135443068387
15,GN,iid,balanced,1.5385836308012533,0.4884427742616033,0.6056297124862671,0.7889641793072224
15,GN,noniid,balanced,2.298150825450189,0.1573806698312236,0.2616336646745602,1.1685058894256752
15,GN,noniid,unbalanced,2.223096969711127,0.1835607858649789,0.306497152693598,1.1437326228045765
16,BN,iid,balanced,1.4908095985347956,0.4975387724469759,0.7741334382375081,0.6818867896000546
16,BN,noniid,balanced,2.2663221214213696,0.21300884101237663,0.3783463529407978,1.1011441981792451
16,BN,noniid,unbalanced,2.2334345916981175,0.23394436316427536,0.33788642943938446,1.04329553081405
16,GN,iid,balanced,1.526018228359866,0.4907898206751054,0.6231885302861532,0.7785506587227186
16,GN,noniid,balanced,2.2614097805968822,0.19381263185654,0.28730984970132506,1.1564290753006936
16,GN,noniid,unbalanced,2.2682937382142754,0.1875791139240506,0.28177151087622,1.1006765266774439
17,BN,iid,balanced,1.480417080098943,0.4988540414343175,0.7775832857131958,0.6734493890653054
17,BN,noniid,balanced,2.284191793462268,0.19132503299549897,0.35243332251509035,1.0635151456296443
17,BN,noniid,unbalanced,2.1345806147804485,0.218517147974402,0.37342837466367906,1.0477583946061857
17,GN,iid,balanced,1.5289398328664434,0.48559796940928274,0.6330091575304667,0.7685305362939835
17,GN,noniid,balanced,2.2550590443711744,0.19255340189873416,0.27371744705984985,1.1260485889017582
17,GN,noniid,unbalanced,2.2082414489255173,0.1883867352320675,0.2643772299987606,1.139644496328215
18,BN,iid,balanced,1.4771105947699468,0.49969792329085766,0.7861525657653808,0.6673030782490968
