round,norm,independence,balancement,test_loss,test_acc,train_acc,train_loss
48,GN,iid,balanced,1.4188368238477265,0.5129450158227847,0.5352855575879415,0.8561234244704247
48,GN,noniid,balanced,2.0232074951823757,0.23498154008438812,0.19517533144454155,1.2725237534443536
48,GN,noniid,unbalanced,1.9859439639602534,0.27068169831223626,0.3211167395413286,1.2486661619864974
49,BN,iid,balanced,1.4002241194070886,0.5186555973414907,0.5188072450637816,0.8908915955821674
49,BN,noniid,balanced,2.0698100647668536,0.27965572919803067,0.2880913247118393,1.2025765690704184
49,BN,noniid,unbalanced,2.1037698204832984,0.2680556500841066,0.32623584094737074,1.189870072369687
49,GN,iid,balanced,1.4182857636660966,0.5129582014767933,0.5341224382082621,0.8490277967850367
49,GN,noniid,balanced,2.0253595454280386,0.23469804852320675,0.19264277951071654,1.279355622579654
49,GN,noniid,unbalanced,1.9872906052613564,0.26604034810126576,0.29994161028384464,1.2108398360677028
50,BN,iid,balanced,1.3955557165592272,0.5195027756115328,0.520850841585795,0.8878434465328852
50,BN,noniid,balanced,2.071040719101071,0.28283017540056227,0.34909033650954563,1.1847695808609326
50,BN,noniid,unbalanced,2.1274427008853927,0.2635131922781994,0.33032958268456986,1.186946934941742
50,GN,iid,balanced,1.425032831143729,0.5105287447257384,0.5402002489089965,0.8533020413915317
50,GN,noniid,balanced,2.0258845731175903,0.23650118670886078,0.25652231413225324,1.2720235366125905
50,GN,noniid,unbalanced,1.9851540840627775,0.26823905590717295,0.2706895705302555,1.2119975356923207
