round,epoch,train_loss,train_acc,norm,independence,balancement,seed
10,8,1.0928091117661436,0.2950924132716427,BN,noniid,unbalanced,0
10,9,1.084811424076723,0.3021393304641059,BN,noniid,unbalanced,0
10,10,1.0610743238562288,0.3483379898709902,BN,noniid,unbalanced,0
11,1,1.150428815373533,0.2015448893546179,BN,noniid,unbalanced,0
11,2,1.1605279332941534,0.2431939837764937,BN,noniid,unbalanced,0
11,3,1.166890035645947,0.2584775450399595,BN,noniid,unbalanced,0
11,4,1.1338237966634783,0.2798483967980721,BN,noniid,unbalanced,0
11,5,1.106607658388674,0.3112258678926877,BN,noniid,unbalanced,0
11,6,1.0977661330577333,0.3124747278957687,BN,noniid,unbalanced,0
11,7,1.0668162766591545,0.3169346464788807,BN,noniid,unbalanced,0
11,8,1.0173033150587083,0.3884241370673387,BN,noniid,unbalanced,0
11,9,1.0214141924262703,0.3823428000551613,BN,noniid,unbalanced,0
11,10,0.9927312359261836,0.3519070963761743,BN,noniid,unbalanced,0
12,1,1.1435947996308276,0.2856005415231595,BN,noniid,unbalanced,0
12,2,1.025261127210923,0.2977665059403173,BN,noniid,unbalanced,0
12,3,0.982664583725849,0.3762080342086276,BN,noniid,unbalanced,0
12,4,0.91899272446681,0.4018659067277654,BN,noniid,unbalanced,0
12,5,0.9173034000832726,0.471055135851418,BN,noniid,unbalanced,0
12,6,0.8777651317335262,0.5220412853229821,BN,noniid,unbalanced,0
12,7,0.8327481202066651,0.5572030852769793,BN,noniid,unbalanced,0
12,8,0.8878863624898717,0.4749228934830878,BN,noniid,unbalanced,0
12,9,0.8428721433253452,0.6213570946176477,BN,noniid,unbalanced,0
12,10,0.8106527346760791,0.6046588649611522,BN,noniid,unbalanced,0
13,1,1.4655743412296174,0.1096828278612672,BN,noniid,unbalanced,0
13,2,1.277757341853616,0.1457623979706966,BN,noniid,unbalanced,0
13,3,1.1755571544875454,0.2992065128120774,BN,noniid,unbalanced,0
13,4,1.1181295889674503,0.331080036435294,BN,noniid,unbalanced,0
13,5,1.122481504022509,0.3416894317260887,BN,noniid,unbalanced,0
13,6,1.080583301997501,0.3708106958087902,BN,noniid,unbalanced,0
13,7,1.062173644307541,0.4693473831014593,BN,noniid,unbalanced,0
13,8,1.0219145380413115,0.4470277403363595,BN,noniid,unbalanced,0
13,9,1.0270481424890765,0.4386741366867158,BN,noniid,unbalanced,0
13,10,0.9964628322416742,0.4596335741968534,BN,noniid,unbalanced,0
14,1,1.3978298069625128,0.2130377892062135,BN,noniid,unbalanced,0
14,2,1.1583379135245218,0.2992882464425254,BN,noniid,unbalanced,0
14,3,1.1277511506577695,0.2936964443121869,BN,noniid,unbalanced,0
14,4,1.0495396630415643,0.3771098797529474,BN,noniid,unbalanced,0
14,5,1.0387293901384818,0.4121695426821388,BN,noniid,unbalanced,0
14,6,1.0063397204218596,0.423584618126792,BN,noniid,unbalanced,0
