norm,independence,balancement,round,test_loss,test_accuracy
BN,iid,balanced,33.0,1.455186403753385,0.4641333333333333
BN,iid,balanced,34.0,1.4407247506113496,0.4742333333333333
BN,iid,balanced,35.0,1.480387820976193,0.46176666666666666
BN,iid,balanced,36.0,1.3911568102454333,0.48836666666666667
BN,iid,balanced,37.0,1.401571181253039,0.49643333333333334
BN,iid,balanced,38.0,1.3696326862407637,0.5003333333333333
BN,iid,balanced,39.0,1.3484553013169815,0.5069
BN,iid,balanced,40.0,1.3596677020632264,0.5029666666666667
BN,iid,balanced,41.0,1.3426804628050277,0.5122333333333332
BN,iid,balanced,42.0,1.369369074262144,0.5103666666666666
BN,iid,balanced,43.0,1.4426113860013619,0.5209666666666667
BN,iid,balanced,44.0,1.2952041927772233,0.5254666666666666
BN,iid,balanced,45.0,1.2818661269256335,0.529
BN,iid,balanced,46.0,1.2488852618615838,0.5436333333333333
BN,iid,balanced,47.0,1.2408097489473688,0.5445
BN,iid,balanced,48.0,1.2541965623445148,0.5411
BN,iid,balanced,49.0,1.218291914412744,0.5523
BN,iid,balanced,50.0,1.2177806919134115,0.5521666666666667
BN,noniid,balanced,1.0,2.603168643476591,0.10000000000000002
BN,noniid,balanced,2.0,2.9241388196180638,0.10000000000000002
BN,noniid,balanced,3.0,2.723455446178903,0.10183333333333333
BN,noniid,balanced,4.0,2.6911033930154793,0.11186666666666667
BN,noniid,balanced,5.0,2.8626389503479004,0.10046666666666666
BN,noniid,balanced,6.0,2.920480051121128,0.1082
BN,noniid,balanced,7.0,2.957856743647579,0.11006666666666669
BN,noniid,balanced,8.0,2.9406283887629776,0.12020000000000002
BN,noniid,balanced,9.0,2.943398093372457,0.13793333333333332
BN,noniid,balanced,10.0,2.8532686988009686,0.13936666666666667
BN,noniid,balanced,11.0,2.8189383589265717,0.14666666666666667
BN,noniid,balanced,12.0,3.1719800158392033,0.1452
BN,noniid,balanced,13.0,2.8969104833240755,0.14953333333333332
BN,noniid,balanced,14.0,2.8150103112313314,0.1567333333333333
BN,noniid,balanced,15.0,2.7900602445320737,0.14506666666666668
BN,noniid,balanced,16.0,2.8910311254267955,0.16196666666666668
BN,noniid,balanced,17.0,2.82429222567675,0.1572
BN,noniid,balanced,18.0,2.78230206071073,0.16240000000000002
BN,noniid,balanced,19.0,2.82400797640724,0.1610666666666667
BN,noniid,balanced,20.0,3.539162040259768,0.15510000000000002
BN,noniid,balanced,21.0,2.9389384084613006,0.17373333333333332
BN,noniid,balanced,22.0,2.9769182416457167,0.18153333333333332
BN,noniid,balanced,23.0,2.8045414741532206,0.1704
BN,noniid,balanced,24.0,2.8324560877643052,0.17096666666666668
BN,noniid,balanced,25.0,3.0705649264251123,0.17206666666666667
BN,noniid,balanced,26.0,3.598410165762599,0.17036666666666667
BN,noniid,balanced,27.0,4.832769678111821,0.17173333333333332
BN,noniid,balanced,28.0,4.223798944980284,0.1790333333333333
BN,noniid,balanced,29.0,3.1003580842843035,0.18356666666666666
BN,noniid,balanced,30.0,2.9284289657818117,0.17056666666666667
BN,noniid,balanced,31.0,3.167418389380733,0.1858
BN,noniid,balanced,32.0,2.899968614558128,0.18603333333333336
BN,noniid,balanced,33.0,3.0447295119490807,0.1811
BN,noniid,balanced,34.0,3.276195979319544,0.18346666666666667
BN,noniid,balanced,35.0,3.560540951756988,0.17886666666666665
BN,noniid,balanced,36.0,2.9786879835249507,0.19396666666666665
BN,noniid,balanced,37.0,3.053260303750823,0.18286666666666665
