norm,independence,balancement,round,test_accuracy
GN,noniid,unbalanced,29.0,0.2308666666666667
GN,noniid,unbalanced,30.0,0.23646666666666669
GN,noniid,unbalanced,31.0,0.23299999999999998
GN,noniid,unbalanced,32.0,0.2332
GN,noniid,unbalanced,33.0,0.23293333333333333
GN,noniid,unbalanced,34.0,0.23996666666666666
GN,noniid,unbalanced,35.0,0.24273333333333336
GN,noniid,unbalanced,36.0,0.2447
GN,noniid,unbalanced,37.0,0.23549999999999996
GN,noniid,unbalanced,38.0,0.24100000000000002
GN,noniid,unbalanced,39.0,0.24513333333333334
GN,noniid,unbalanced,40.0,0.24906666666666666
GN,noniid,unbalanced,41.0,0.2466
GN,noniid,unbalanced,42.0,0.24356666666666668
GN,noniid,unbalanced,43.0,0.24980000000000002
GN,noniid,unbalanced,44.0,0.24823333333333333
GN,noniid,unbalanced,45.0,0.24193333333333333
GN,noniid,unbalanced,46.0,0.2557666666666667
GN,noniid,unbalanced,47.0,0.24453333333333335
GN,noniid,unbalanced,48.0,0.24626666666666666
GN,noniid,unbalanced,49.0,0.25776666666666664
GN,noniid,unbalanced,50.0,0.25586666666666663
