norm,independence,balancement,round,train_loss
GN,noniid,balanced,46.0,0.5309894571645369
GN,noniid,balanced,47.0,0.5487642292272746
GN,noniid,balanced,48.0,0.5352778087620488
GN,noniid,balanced,49.0,0.5333242220341102
GN,noniid,balanced,50.0,0.5258719840556247
GN,noniid,unbalanced,1.0,1.3934516921175852
GN,noniid,unbalanced,2.0,1.1162278316483587
GN,noniid,unbalanced,3.0,0.7406025153760841
GN,noniid,unbalanced,4.0,0.6733126150919054
GN,noniid,unbalanced,5.0,0.6372687939141356
GN,noniid,unbalanced,6.0,0.6162756158537289
GN,noniid,unbalanced,7.0,0.5997181538072421
GN,noniid,unbalanced,8.0,0.5771850437151492
GN,noniid,unbalanced,9.0,0.5770866055465427
GN,noniid,unbalanced,10.0,0.5595765018183964
GN,noniid,unbalanced,11.0,0.5473819957366897
GN,noniid,unbalanced,12.0,0.5498540109881801
GN,noniid,unbalanced,13.0,0.5375284334525033
GN,noniid,unbalanced,14.0,0.5304262497373049
GN,noniid,unbalanced,15.0,0.5248768056204732
GN,noniid,unbalanced,16.0,0.5243088742565968
GN,noniid,unbalanced,17.0,0.5195553244094381
GN,noniid,unbalanced,18.0,0.5121903130632132
GN,noniid,unbalanced,19.0,0.5150616434255455
GN,noniid,unbalanced,20.0,0.5115559191569853
GN,noniid,unbalanced,21.0,0.505385503122374
GN,noniid,unbalanced,22.0,0.5050320590247374
GN,noniid,unbalanced,23.0,0.4953143618924937
GN,noniid,unbalanced,24.0,0.5001284265161938
GN,noniid,unbalanced,25.0,0.49019345314794366
GN,noniid,unbalanced,26.0,0.4920196368492136
GN,noniid,unbalanced,27.0,0.48493319631263726
GN,noniid,unbalanced,28.0,0.4852437563803538
GN,noniid,unbalanced,29.0,0.4745927042319918
GN,noniid,unbalanced,30.0,0.48250290560051434
GN,noniid,unbalanced,31.0,0.4818506836236305
GN,noniid,unbalanced,32.0,0.46981288781119385
GN,noniid,unbalanced,33.0,0.4696003450028327
GN,noniid,unbalanced,34.0,0.4651432706156858
GN,noniid,unbalanced,35.0,0.4671096410704272
GN,noniid,unbalanced,36.0,0.46168262310067393
GN,noniid,unbalanced,37.0,0.4640691367832484
GN,noniid,unbalanced,38.0,0.46030583812854736
GN,noniid,unbalanced,39.0,0.46076353258339736
GN,noniid,unbalanced,40.0,0.4566102381597347
GN,noniid,unbalanced,41.0,0.4575503753992087
GN,noniid,unbalanced,42.0,0.4520865551887465
GN,noniid,unbalanced,43.0,0.4503241503107714
GN,noniid,unbalanced,44.0,0.44895063420788955
GN,noniid,unbalanced,45.0,0.4435702546422955
GN,noniid,unbalanced,46.0,0.440606903071944
GN,noniid,unbalanced,47.0,0.43981199067021565
GN,noniid,unbalanced,48.0,0.4391042086802779
GN,noniid,unbalanced,49.0,0.4425017258521596
GN,noniid,unbalanced,50.0,0.4338321854546368
